"Humcfs_id","chromosome_number","name","chrlocation","cytoband","type","frequency","gene_ensembl_id","gene_name","havana_transcript_id","gene_location","gene_orientation","exon_id","exon_number","gene_description","disease_description","miRNA_location","miRNA_strand","miRNA_id","miRNA_name","miRNA_derived","pmid"
"555","chromosome1","FRA1I","243700001-249250621","1q44","Aphidicolin","Common","ENSG00000169224","GCSAML","OTTHUMT00000097748","247518432-247575648","+","ENSE00001909337, ENSE00003616789, ENSE00003604658, ENSE00001742146, ENSE00001912022","5","NA","NA","NA","NA","NA","NA","NA","22850746"
"556","chromosome1","FRA1I","243700001-249250621","1q44","Aphidicolin","Common","ENSG00000171161","ZNF672","OTTHUMT00000097127","248839154-248847385","+","ENSE00001780726, ENSE00001169686, ENSE00001169681, ENSE00001648635","4","NA","NA","NA","NA","NA","NA","NA","22850746"
"557","chromosome1","FRA1I","243700001-249250621","1q44","Aphidicolin","Common","ENSG00000162852","CNST","OTTHUMT00000096782","246566514-246633957","+","ENSE00001441889, ENSE00003475396, ENSE00003534863, ENSE00001441887","4","consortin, connexin sorting protein","Thyroid Diseases","NA","NA","NA","NA","NA","22850746"
"558","chromosome1","FRA1I","243700001-249250621","1q44","Aphidicolin","Common","ENSG00000197472","ZNF695","OTTHUMT00000098003","246945675-247008093","-","ENSE00002096689, ENSE00003675589, ENSE00001434488, ENSE00003551699, ENSE00002129578, ENSE00002104194","6","zinc finger protein 695","Squamous cell carcinoma of esophagus","NA","NA","NA","NA","NA","22850746"
"559","chromosome1","FRA1I","243700001-249250621","1q44","Aphidicolin","Common","ENSG00000185420","SMYD3","OTTHUMT00000487765","245749342-246417409","-","ENSE00003582816, ENSE00003783154, ENSE00003777951, ENSE00003783526, ENSE00003782765, ENSE00003779817, ENSE00003779374, ENSE00003781031, ENSE00003780541, ENSE00003781340, ENSE00003677595, ENSE000037837","12","SET and MYND domain containing 3","Squamous cell carcinoma,Malignant neoplasm of stomach,Colorectal Cancer,Prostate carcinoma,Liver carcinoma,Stomach Carcinoma,Neoplasm Metastasis,Malignant neoplasm of breast,Breast Carcinoma,Fibrosarcoma,Malignant neoplasm of prostate,Mammary Neoplasms,Amphetamine-Related Disorders,Disseminated Malignant Neoplasm,Medullary carcinoma of thyroid,Esophageal Neoplasms,Malignant neoplasm of liver,Carcinogenesis,Prostatic Neoplasms,Secondary malignant neoplasm of lymph node,Cancer Cell Growth,Colorectal Carcinoma,Xenograft Model,Tobacco Use Disorder,Squamous cell carcinoma of esophagus","NA","NA","NA","NA","NA","22850746"
"560","chromosome1","FRA1I","243700001-249250621","1q44","Aphidicolin","Common","ENSG00000196418","ZNF124","OTTHUMT00000098572","247138145-247172002","-","ENSE00001890282, ENSE00003609686, ENSE00003545914, ENSE00001840434","4","NA","NA","NA","NA","NA","NA","NA","22850746"
"561","chromosome1","FRA1I","243700001-249250621","1q44","Aphidicolin","Common","ENSG00000171163","ZNF692","OTTHUMT00000097306","248857313-248859067","-","ENSE00001931724, ENSE00003692227, ENSE00001829590, ENSE00001826181","4","NA","NA","NA","NA","NA","NA","NA","22850746"
"562","chromosome1","FRA1I","243700001-249250621","1q44","Aphidicolin","Common","ENSG00000196242","OR2C3","OTTHUMT00000097626","247530132-247533839","-","ENSE00001828853, ENSE00001441827","2","NA","NA","NA","NA","NA","NA","NA","22850746"
"563","chromosome1","FRA1I","243700001-249250621","1q44","Aphidicolin","Common","ENSG00000179397","C1orf101","OTTHUMT00000096703","244461411-244640360","+","ENSE00003550946, ENSE00003652220, ENSE00003574896, ENSE00003581821, ENSE00001292719, ENSE00003524258, ENSE00003589090, ENSE00003580581, ENSE00003560001, ENSE00003664710, ENSE00003528690, ENSE000035255","18","chromosome 1 open reading frame 101","Tobacco Use Disorder","NA","NA","NA","NA","NA","22850746"
"564","chromosome1","FRA1I","243700001-249250621","1q44","Aphidicolin","Common","ENSG00000185220","PGBD2","OTTHUMT00000097319","248906196-248919946","+","ENSE00001441802, ENSE00003603972, ENSE00001400348","3","NA","NA","NA","NA","NA","NA","NA","22850746"
"565","chromosome1","FRA1I","243700001-249250621","1q44","Aphidicolin","Common","ENSG00000203666","EFCAB2","OTTHUMT00000404593","245017242-245083860","+","ENSE00003508345, ENSE00003640672, ENSE00003474675, ENSE00003620816, ENSE00002428036","5","EF-hand calcium binding domain 2","Tobacco Use Disorder","NA","NA","NA","NA","NA","22850746"
"566","chromosome1","FRA1I","243700001-249250621","1q44","Aphidicolin","Common","ENSG00000196071","OR2L13","OTTHUMT00000097342","248098649-248100922","+","ENSE00001441816, ENSE00001277766","2","olfactory receptor, family 2, subfamily L, member 13","Tobacco Use Disorder","NA","NA","NA","NA","NA","22850746"
"567","chromosome1","FRA1I","243700001-249250621","1q44","Aphidicolin","Common","ENSG00000162849","KIF26B","OTTHUMT00000096658","245511002-245709431","+","ENSE00002216695, ENSE00002244896, ENSE00002263245, ENSE00002323574, ENSE00002291216, ENSE00002312148, ENSE00002230042, ENSE00003682150, ENSE00001441902, ENSE00001069192, ENSE00001069196, ENSE000026010","12","kinesin family member 26B","Tobacco Use Disorder,Carcinogenesis,Malignant neoplasm of breast,Breast Carcinoma","NA","NA","NA","NA","NA","22850746"
"568","chromosome1","FRA1I","243700001-249250621","1q44","Aphidicolin","Common","ENSG00000153207","AHCTF1","OTTHUMT00000097817","246839098-246931363","-","ENSE00003650483, ENSE00003518085, ENSE00003465918, ENSE00003469232, ENSE00003529250, ENSE00003487406, ENSE00003592573, ENSE00003546726, ENSE00003685459, ENSE00003571992, ENSE00003573528, ENSE000034781","36","NA","NA","NA","NA","NA","NA","NA","22850746"
"569","chromosome1","FRA1I","243700001-249250621","1q44","Aphidicolin","Common","ENSG00000203663","OR2L2","OTTHUMT00000096871","248038268-248039206","+","ENSE00001441817","1","olfactory receptor, family 2, subfamily L, member 2","Kidney Failure,Inflammatory Bowel Diseases,Lupus Erythematosus, Systemic,Diabetes Mellitus, Non-Insulin-Dependent,Kidney Failure, Chronic","NA","NA","NA","NA","NA","22850746"
"570","chromosome1","FRA1I","243700001-249250621","1q44","Aphidicolin","Common","ENSG00000162714","ZNF496","OTTHUMT00000098656","247298201-247329245","-","ENSE00003259454, ENSE00003238039, ENSE00003370585, ENSE00003358268, ENSE00001201664, ENSE00003261522, ENSE00003336724, ENSE00001913594","8","zinc finger protein 496","Amyotrophic Lateral Sclerosis","NA","NA","NA","NA","NA","22850746"
"571","chromosome1","FRA1I","243700001-249250621","1q44","Aphidicolin","Common","ENSG00000197454","OR2L5","OTTHUMT00000096851","248021948-248022886","+","ENSE00002374354","1","NA","NA","NA","NA","NA","NA","NA","22850746"
"572","chromosome1","FRA1I","243700001-249250621","1q44","Aphidicolin","Common","ENSG00000121644","DESI2","OTTHUMT00000097169","244653103-244705951","+","ENSE00001397079, ENSE00001368207, ENSE00001069174, ENSE00001350409","4","desumoylating isopeptidase 2","Carcinoma, Lewis Lung,ovarian neoplasm,Carcinoma of lung,Malignant neoplasm of lung,Malignant neoplasm of ovary,Colon Carcinoma,Ovarian Carcinoma,Lung Neoplasms","NA","NA","NA","NA","NA","22850746"
"573","chromosome1","FRA1I","243700001-249250621","1q44","Aphidicolin","Common","ENSG00000177275","OR2AJ1","OTTHUMT00000096863","247933769-247934755","+","ENSE00001277848","1","NA","NA","NA","NA","NA","NA","NA","22850746"
"574","chromosome1","FRA1I","243700001-249250621","1q44","Aphidicolin","Common","ENSG00000198128","OR2L3","OTTHUMT00000096852","248060682-248061620","+","ENSE00002392655","1","NA","NA","NA","NA","NA","NA","NA","22850746"
"575","chromosome1","FRA1J","128900001-142600000","1q12","5-azacytidine","Common","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","20647332"
"576","chromosome1","FRA1K","185800001-198700000","1q31","Aphidicolin","Common","ENSG00000213047","DENND1B","OTTHUMT00000086537","197504748-197583220","-","NA","0","DENN/MADD domain containing 1B","Inflammatory Bowel Diseases,Asthma,Biliary cirrhosis,Obesity,Childhood asthma,Crohn Disease","196582453-196582474","-","MIMAT0019860","hsa-miR-4735-5p","MI0017372","22850746"
"577","chromosome1","FRA1K","185800001-198700000","1q31","Aphidicolin","Common","ENSG00000134365","CFHR4","OTTHUMT00000472470","196850241-196918972","+","ENSE00003706878, ENSE00003710008, ENSE00003710705, ENSE00002353452, ENSE00002324799, ENSE00003707681","6","complement factor H-related 4","Atypical Hemolytic Uremic Syndrome,Lupus Erythematosus, Systemic,Age related macular degeneration","196582417-196582437","-","MIMAT0019861","hsa-miR-4735-3p","MI0017372","22850746"
"578","chromosome1","FRA1K","185800001-198700000","1q31","Aphidicolin","Common","ENSG00000090104","RGS1","OTTHUMT00000313737","192575773-192578955","+","ENSE00003611463, ENSE00003576069, ENSE00002329846, ENSE00001846624","4","regulator of G-protein signaling 1","Squamous cell carcinoma,Vascular inflammations,Juvenile arthritis,Arteriosclerosis,Arsenic Poisoning,Neoplasms, Second Primary,Adult T-Cell Lymphoma/Leukemia,Vascular Diseases,Aortic Aneurysm,Aortic aneurysm without mention of rupture NOS,Dermatologic disorders,Leukemia, T-Cell,Atherosclerosis,Diabetes Mellitus, Insulin-Dependent,Lymphoma,Tumor Progression,Aortic Aneurysm, Ruptured,Autoimmune Diseases,Celiac Disease,melanoma,Multiple Sclerosis,Osteosarcoma,Neoplasm Recurrence, Local,Dermatitis, Allergic Contact,Head and Neck Neoplasms","192716333-192716349","+","MIMAT0018941","hsa-miR-4426","MI0016765","22850746"
"579","chromosome1","FRA1K","185800001-198700000","1q31","Aphidicolin","Common","ENSG00000081237","PTPRC","OTTHUMT00000086817","198639097-198693206","+","ENSE00001444341, ENSE00003551252, ENSE00001444339","3","protein tyrosine phosphatase, receptor type, C","Lupus Erythematosus, Systemic,Precursor Cell Lymphoblastic Leukemia Lymphoma,Mesenchymal Cell Neoplasm,Cholestasis,Nonorganic psychosis,Adult T-Cell Lymphoma/Leukemia,Adenocarcinoma Of Esophagus,Low grade B-cell lymphoma,HIV Infections,Mastocytosis, Systemic,Coronary heart disease,Myelodysplasia,Nasal Polyps,AURAL ATRESIA, CONGENITAL,Malignant Pleural Mesothelioma,Ascariasis,Myocardial Infarction,Senile Plaques,Progressive Neoplastic Disease,Hematologic Neoplasms,Retinal Degeneration,Myocarditis,Rheumatoid Arthritis,Plasma Cell Neoplasm,Multiple Myeloma,Precursor B-Cell Lymphoblastic Leukemia-Lymphoma,Leukemia, Myelocytic, Acute,Astler-Coller B1 Rectal Carcinoma,Renal ischaemia,Diabetes Mellitus,Stomach Carcinoma,Common Variable Immunodeficiency,Infection by Cryptococcus neoformans,Conjunctival Diseases,Pancreatitis, Chronic,Granulocytic Sarcoma,Lymphoid leukemia,Kaposi Sarcoma,Sarcoma,Lymphohistiocytosis, Hemophagocytic,Progressive cGVHD,Lupus Erythematosus,Thymoma,Colorectal Cancer,M","193136552-193136573","+","MIMAT0005936","hsa-miR-1278","MI0006425","22850746"
"580","chromosome1","FRA1K","185800001-198700000","1q31","Aphidicolin","Common","ENSG00000203724","C1orf53","OTTHUMT00000086556","197902778-197907367","+","ENSE00001620016, ENSE00003516451, ENSE00001601571","3","NA","NA","192716328-192716390","+","MI0016765","hsa-mir-4426","NA","22850746"
"581","chromosome1","FRA1K","185800001-198700000","1q31","Aphidicolin","Common","ENSG00000151418","ATP6V1G3","OTTHUMT00000357930","198523341-198540674","-","ENSE00001868055, ENSE00003541848, ENSE00002392162, ENSE00001886608","4","ATPase, H+ transporting, lysosomal 13kDa, V1 subunit G3","Conventional (Clear Cell) Renal Cell Carcinoma","193136506-193136583","+","MI0006425","hsa-mir-1278","NA","22850746"
"582","chromosome1","FRA1K","185800001-198700000","1q31","Aphidicolin","Common","ENSG00000116747","TROVE2","OTTHUMT00000086695","193059454-193091219","+","ENSE00001699260, ENSE00003630809, ENSE00003543297, ENSE00003657335, ENSE00003518607, ENSE00003545812, ENSE00003628009, ENSE00001678331","8","TROVE domain family, member 2","Neonatal Systemic lupus erythematosus,Lupus Erythematosus, Cutaneous,Sicca Syndrome,Lupus Erythematosus, Systemic,Cardiac fibrosis,Lupus Erythematosus, Discoid,Autoimmune Diseases,Rheumatism,Multiple Sclerosis, Relapsing-Remitting,Sjogren's Syndrome,Lupus Vulgaris,Idiopathic Inflammatory Myopathies,Congenital heart block,Heart Block,Lupus Erythematosus, Subacute Cutaneous,Subacute cutaneous lupus,Malignant neoplasm of breast,Lupus Erythematosus,Breast Carcinoma","196582413-196582481","-","MI0017372","hsa-mir-4735","NA","22850746"
"583","chromosome1","FRA1K","185800001-198700000","1q31","Aphidicolin","Common","ENSG00000143355","LHX9","OTTHUMT00000086548","197917355-197918766","+","ENSE00001764047, ENSE00003655242, ENSE00001444406","3","LIM homeobox 9","Glioma,Malignant Glioma,Astrocytoma","NA","NA","NA","NA","NA","22850746"
"584","chromosome1","FRA1K","185800001-198700000","1q31","Aphidicolin","Common","ENSG00000151414","NEK7","OTTHUMT00000399550","198156998-198319522","+","ENSE00002212387, ENSE00003639938, ENSE00001195921, ENSE00000999457, ENSE00000999456, ENSE00001067833, ENSE00003566226, ENSE00003583530, ENSE00003478699, ENSE00002287419","10","NIMA-related kinase 7","Weight Gain,Malignant neoplasm of breast","NA","NA","NA","NA","NA","22850746"
"585","chromosome1","FRA1K","185800001-198700000","1q31","Aphidicolin","Common","ENSG00000162670","BRINP3","OTTHUMT00000487775","190265009-190475984","-","ENSE00003779396, ENSE00001370507, ENSE00003639993, ENSE00003783263","4","bone morphogenetic protein/retinoic acid inducible neural-specific 3","Vascular inflammations,Ulcerative Colitis,Inflammatory Bowel Diseases,Acute myocardial infarction,Gingival Diseases,Atherosclerosis,Periodontal Diseases,Tobacco Use Disorder,Periodontitis, Juvenile,Myocardial Infarction,Coronary Artery Disease,Crohn Disease","NA","NA","NA","NA","NA","22850746"
"586","chromosome1","FRA1K","185800001-198700000","1q31","Aphidicolin","Common","ENSG00000116750","UCHL5","OTTHUMT00000086322","193015759-193029575","-","ENSE00003683845, ENSE00001444521, ENSE00001731587, ENSE00000790985, ENSE00001700426, ENSE00001734709, ENSE00001657775, ENSE00001600331, ENSE00001756237","9","ubiquitin carboxyl-terminal hydrolase L5","Marijuana Abuse,Recurrent tumor,Diabetes Mellitus, Experimental,Multiple Myeloma,Waldenstrom Macroglobulinemia,Alcoholic Liver Diseases,Squamous cell carcinoma of esophagus,Carcinogenesis,Neoplasm Metastasis,Uterine Cervical Neoplasm","NA","NA","NA","NA","NA","22850746"
"587","chromosome1","FRA1K","185800001-198700000","1q31","Aphidicolin","Common","ENSG00000047410","TPR","OTTHUMT00000086355","186373393-186375693","-","ENSE00001753818, ENSE00001068219, ENSE00001617725","3","translocated promoter region, nuclear basket protein","Stomach Neoplasms,Metastatic malignant neoplasm to brain,Papillary thyroid carcinoma,Fanconi Anemia,Charcot-Marie-Tooth Disease,Thyroid Neoplasm,Neuropathy,Glioblastoma,Stomach Carcinoma,Spastic syndrome,FANCONI ANEMIA, COMPLEMENTATION GROUP A (disorder),Syphilis,PITUITARY ADENOMA PREDISPOSITION (disorder),Ependymoma","NA","NA","NA","NA","NA","22850746"
"588","chromosome1","FRA1K","185800001-198700000","1q31","Aphidicolin","Common","ENSG00000116690","PRG4","OTTHUMT00000382431","186296279-186306478","+","ENSE00002409764, ENSE00001269472, ENSE00000790814, ENSE00001030848, ENSE00002191483","5","proteoglycan 4","Hyperplasia,Arthropathy,Osteoarthritis, Knee,Rheumatoid Arthritis,Treatment related leukaemia,Arthritis,Overweight,Cardiovascular Diseases,Cavitation,leukemia,Degenerative polyarthritis,Prosthesis Loosening,Pericarditis,Congenital Camptodactyly,inflammatory joint disease,Obesity,Contracture,Tennis Elbow,CAMPTODACTYLY-ARTHROPATHY-COXA VARA-PERICARDITIS SYNDROME,Acquired Camptodactyly","NA","NA","NA","NA","NA","22850746"
"589","chromosome1","FRA1K","185800001-198700000","1q31","Aphidicolin","Common","ENSG00000134371","CDC73","OTTHUMT00000489066","193122180-193253325","+","ENSE00003799095, ENSE00003497095, ENSE00003613711, ENSE00003641635, ENSE00003508580, ENSE00003643291, ENSE00000995910, ENSE00002208937, ENSE00002270543, ENSE00002421874, ENSE00002270509, ENSE000023102","14","cell division cycle 73","Uterine Polyp,Hypocalciuric hypercalcemia, familial, type 1,Prostate carcinoma,Cachexia,Multiple Endocrine Neoplasia,Endocrine Gland Neoplasms,Neoplasm Metastasis,HYPERPARATHYROIDISM 3,Parathyroid Adenoma, Familial,Malignant tumor of parathyroid gland,Humoral hypercalcemia of malignancy (disorder),Hyperparathyroidism-Jaw Tumor Syndrome,Malignant neoplasm of prostate,Parathyroid Gland Adenocarcinoma,Renal Cell Carcinoma,Hyperparathyroidism, Primary,Hyperparathyroidism,Adenoma,Parathyroid Adenoma,Myocardial Infarction,HYPERPARATHYROIDISM 1,Pancreatic Neoplasm,Atypical adenoma,Multiple Endocrine Neoplasia Type 1,Parathyroid Neoplasms,Carcinogenesis,Hurthle Cell Tumor,Hyperlipidemia,Familial hyperparathyroidism,Parathyroid Diseases,Secondary malignant neoplasm of lung,hereditary Wilms' tumor (WT1),Hereditary Malignant Neoplasm,Osteogenic Neoplasm,Kidney Neoplasm,Bone neoplasms,Hypercalcemia,Ossifying Fibroma,Osteoporosis","NA","NA","NA","NA","NA","22850746"
"590","chromosome1","FRA1K","185800001-198700000","1q31","Aphidicolin","Common","ENSG00000000971","CFH","OTTHUMT00000484313","196652045-196701566","+","ENSE00003769402, ENSE00001134426, ENSE00000791013, ENSE00000791014, ENSE00000469039, ENSE00000791016, ENSE00003540360, ENSE00003520851, ENSE00003623048, ENSE00003762518","10","complement factor H","Prodrome,Choroiditis,Salmonella infections,Lupus Erythematosus, Systemic,exudative macular degeneration,Periodontal Diseases,Disease of capillaries,Macular degeneration,Diarrhea-negative hemolytic uremic syndrome,Panuveitis,Thrombocytopenia,Choroidal Neovascularization,Myopathy,Anemia, Hemolytic,HIV Infections,Arteriosclerosis,Chronic kidney disease stage 5,Coronary heart disease,Renal disease (acute) NOS,Focal glomerulosclerosis,furuncle,Small cell carcinoma of lung,Shock, Hemorrhagic,Cardiovascular Diseases,Idiopathic pulmonary arterial hypertension,Furunculosis,Hemorrhagic diarrhea,Purpura, Thrombotic Thrombocytopenic,Precancerous Conditions,Dengue Fever,Myocardial Infarction,Meningococcal Infections,Progressive Neoplastic Disease,Malignant tumor of colon,Retinal Degeneration,Rheumatoid Arthritis,Lyme Disease,Prostatic Neoplasms,Enteritis,Multiple tumors,Congenital hypoplasia of pulmonary artery,Proliferative glomerulonephritis,Jaundice, Obstructive,Neurodegenerative Disorders,Diabe","NA","NA","NA","NA","NA","22850746"
"591","chromosome1","FRA1K","185800001-198700000","1q31","Aphidicolin","Common","ENSG00000134376","CRB1","OTTHUMT00000086563","197442170-197478455","+","ENSE00001650761, ENSE00001802149","2","crumbs family member 1, photoreceptor morphogenesis associated","Asthma,Retinitis Pigmentosa,Pigmented Paravenous Chorioretinal Atrophy,Pituitary Neoplasms,Blind Vision,Autosomal recessive retinitis pigmentosa,Retinal telangiectasia,Disorder of eye,Atrophoderma maculatum,Leber Congenital Amaurosis,LEBER CONGENITAL AMAUROSIS 8,RETINITIS PIGMENTOSA 12 (disorder),retinal lesion,Retinal Degeneration,Retinal Diseases,Retinal Detachment,Obesity,Telangiectasis,Exudative retinopathy,Unspecified visual loss,Atrophic condition of skin,Disorder of macula of retina,Retinal Dystrophies,Optic Atrophy, Hereditary, Leber,Photoreceptor degeneration,Keratoconus,Hyperopia","NA","NA","NA","NA","NA","22850746"
"592","chromosome1","FRA1K","185800001-198700000","1q31","Aphidicolin","Common","ENSG00000066279","ASPM","OTTHUMT00000088257","197084132-197135144","-","ENSE00001444445, ENSE00000791074, ENSE00000791073, ENSE00000791072, ENSE00000791071, ENSE00001278060, ENSE00000791069, ENSE00000468981, ENSE00000791068, ENSE00000999409, ENSE00001067766, ENSE000010677","23","asp (abnormal spindle) homolog, microcephaly associated (Drosophila)","Adenoid Cystic Carcinoma,IGA Glomerulonephritis,Diabetes Mellitus, Insulin-Dependent,Liver carcinoma,Adult T-Cell Lymphoma/Leukemia,Triple Negative Breast Neoplasms,Microcephaly, Primary Autosomal Recessive, 5,Neoplasm Metastasis,HIV Infections,Malignant neoplasm of breast,Non-Small Cell Lung Carcinoma,Polycystic Ovary Syndrome,Congenital anomaly of brain,Amyotrophic Lateral Sclerosis,Fibrodysplasia Ossificans Progressiva,Attention deficit hyperactivity disorder,Degenerative polyarthritis,Acute lymphocytic leukemia,Angelman Syndrome,Mental Retardation,Microcephaly,Ovarian Carcinoma,Mycoses,Age related macular degeneration,polyps,Pancreatic Neoplasm,Antisocial behavior,Pancreatic Ductal Adenocarcinoma,Rheumatoid Arthritis,Juvenile rheumatoid arthritis,Mitochondrial cardiomyopathy,Pneumocystis jiroveci pneumonia,Phobic anxiety disorder,Adenocarcinoma of lung (disorder),Coronary Artery Disease,Epithelial ovarian cancer,Obesity,Non-Malignant Ascites Adverse Event,Congenital microcephaly,Ch","NA","NA","NA","NA","NA","22850746"
"593","chromosome1","FRA1K","185800001-198700000","1q31","Aphidicolin","Common","ENSG00000080910","CFHR2","OTTHUMT00000088819","196943772-196959226","+","ENSE00003707585, ENSE00003743064, ENSE00001812829, ENSE00003727696, ENSE00001444456","5","complement factor H-related 2","Atypical Hemolytic Uremic Syndrome,Age related macular degeneration","NA","NA","NA","NA","NA","22850746"
"594","chromosome1","FRA1K","185800001-198700000","1q31","Aphidicolin","Common","ENSG00000244414","CFHR1","OTTHUMT00000088252","196819781-196832189","+","ENSE00001900926, ENSE00003460082, ENSE00003542617, ENSE00002379624, ENSE00001938150","5","complement factor H-related 1","IGA Glomerulonephritis,Lupus Erythematosus, Systemic,Thrombotic Microangiopathies,Macular Degeneration, Age-Related, 1,Membranoproliferative Glomerulonephritis, Type II,CFHR5 DEFICIENCY,Lymphoma, Non-Hodgkin,Hemolytic-Uremic Syndrome,Chronic kidney disease stage 5,Renal glomerular disease,Virus Diseases,Graft-vs-Host Disease,Geographic Atrophy,Uremia syndrome,Age related macular degeneration,Cerebrovascular accident,Atypical Hemolytic Uremic Syndrome,Leukemia, Myelocytic, Acute,Glomerulonephritis, Membranoproliferative,Kidney Failure, Chronic,Hypertensive disease,Cardioembolic stroke,Lymphoma, Follicular,Meningococcal Infections,Lymphoid leukemia,Adenocarcinoma of lung (disorder),HEMOLYTIC UREMIC SYNDROME, ATYPICAL, SUSCEPTIBILITY TO, 1","NA","NA","NA","NA","NA","22850746"
"595","chromosome1","FRA1K","185800001-198700000","1q31","Aphidicolin","Common","ENSG00000143341","HMCN1","OTTHUMT00000131850","186171387-186189665","+","ENSE00001702179, ENSE00000959396, ENSE00000959397, ENSE00000959408, ENSE00000959403, ENSE00001611364","6","hemicentin 1","Atrial Fibrillation,Macular Degeneration, Age-Related, 1,Atherosclerosis,Age related macular degeneration,Diabetic Nephropathy","NA","NA","NA","NA","NA","22850746"
"596","chromosome1","FRA1K","185800001-198700000","1q31","Aphidicolin","Common","ENSG00000262180","OCLM","OTTHUMT00000438012","186400572-186401455","+","ENSE00002677611","1","oculomedin","Glaucoma,Glaucoma, Primary Open Angle","NA","NA","NA","NA","NA","22850746"
"597","chromosome1","FRA1L","61300001-84900000","1p31","Aphidicolin","Common","ENSG00000118473","SGIP1","OTTHUMT00000100220","66533615-66679742","+","ENSE00001631208, ENSE00003692908, ENSE00003586844, ENSE00003469818, ENSE00003487771, ENSE00003651591, ENSE00003608974, ENSE00003510766, ENSE00003490585, ENSE00003660898, ENSE00003561367, ENSE000035564","13","SH3-domain GRB2-like (endophilin) interacting protein 1","Cerebrovascular accident,Glomerular filtration rate finding,Carotid Artery Diseases,Cardiovascular Diseases,Tobacco Use Disorder,Obesity,Brain Ischemia,Alcoholic Intoxication, Chronic,Coronary heart disease","64579855-64579876","+","MIMAT0019967","hsa-miR-4794","MI0017441","20647332"
"598","chromosome1","FRA1L","61300001-84900000","1p31","Aphidicolin","Common","ENSG00000116729","WLS","OTTHUMT00000381859","68150268-68232280","-","ENSE00002181301, ENSE00003786865, ENSE00003491318, ENSE00003611996, ENSE00002158883","5","wntless Wnt ligand secretion mediator","Squamous cell carcinoma,Esophageal carcinoma,Malignant neoplasm of stomach,Prostate carcinoma,Colorectal Cancer,Leukopenia,Nasopharyngeal carcinoma,Precursor Cell Lymphoblastic Leukemia Lymphoma,Persistent infection,Malignant neoplasm of thyroid,Liver carcinoma,Malignant neoplasm of lung,Liver and Intrahepatic Biliary Tract Carcinoma,Chronic Lymphocytic Leukemia,Osteosarcoma of bone,Malignant neoplasm of esophagus,Hematopoietic Neoplasms,Acute leukemia,Neoplasm Metastasis,Central neuroblastoma,Malignant neoplasm of ovary,HIV Infections,Malignant neoplasm of breast,Mammary Neoplasms,Adult Acute Myeloblastic Leukemia,Psoriasis,Prolymphocytic Leukemia,Non-Small Cell Lung Carcinoma,melanoma,Malignant neoplasm of prostate,Malaria,Neuroblastoma,Refractory cancer,Lung Neoplasms,Oral infection,Renal Cell Carcinoma,Endometrial Carcinoma,Acute lymphocytic leukemia,Small cell carcinoma of lung,Breast Carcinoma,Ovarian Carcinoma,Lymphoma,Uterine Corpus Cancer,Esophageal Neoplasms,Malignant neoplas","62078830-62078851","+","MIMAT0014978","hsa-miR-3116","MI0014128","20647332"
"599","chromosome1","FRA1L","61300001-84900000","1p31","Aphidicolin","Common","ENSG00000116783","TNNI3K","OTTHUMT00000388887","74369221-74439539","+","ENSE00002194417, ENSE00003694644, ENSE00003514839, ENSE00002181846, ENSE00003485635, ENSE00002197657","6","TNNI3 interacting kinase","Heart failure,Protein Deficiency,Cardiovascular Diseases,Brain Diseases,Cardiomyopathies,CARDIAC CONDUCTION DISEASE WITH OR WITHOUT DILATED CARDIOMYOPATHY,Congestive heart failure,Myocardial Infarction,Cardiomyopathy, Dilated,Heart Diseases","65058434-65058508","-","MI0000103","hsa-mir-101-1","NA","20647332"
"600","chromosome1","FRA1L","61300001-84900000","1p31","Aphidicolin","Common","ENSG00000116754","SRSF11","OTTHUMT00000025892","70231548-70252001","+","ENSE00001453974, ENSE00003542076, ENSE00003566601, ENSE00003601061, ENSE00003654799, ENSE00003582281, ENSE00003678653, ENSE00003607741, ENSE00003598570, ENSE00000995728","10","serine/arginine-rich splicing factor 11","Tobacco Use Disorder,Nasopharyngeal carcinoma,Adenocarcinoma of large intestine","71067631-71067716","-","MI0000483","hsa-mir-186","NA","20647332"
"601","chromosome1","FRA1L","61300001-84900000","1p31","Aphidicolin","Common","ENSG00000132854","KANK4","OTTHUMT00000024880","62236979-62263424","-","ENSE00001410183, ENSE00001348606, ENSE00003559773, ENSE00000906198","4","KN motif and ankyrin repeat domains 4","Rheumatoid Arthritis,Ankylosing spondylitis,Nephrotic Syndrome","65057762-65057783","-","MIMAT0018094","hsa-miR-3671","MI0016072","20647332"
"602","chromosome1","FRA1L","61300001-84900000","1p31","Aphidicolin","Common","ENSG00000198160","MIER1","OTTHUMT00000025941","66924959-66986670","+","ENSE00003657316, ENSE00003486435, ENSE00002695220, ENSE00003555803, ENSE00003658482, ENSE00003530640, ENSE00003642034, ENSE00001649965, ENSE00001759099, ENSE00001747133, ENSE00001776257, ENSE000016403","16","mesoderm induction early response 1, transcriptional regulator","Cryptorchidism,Malignant neoplasm of breast,Breast Carcinoma","65058442-65058462","-","MIMAT0000099","hsa-miR-101-3p","MI0000103","20647332"
